country,country_code,Total
Norway,NOR,39
Germany,DEU,31
Canada,CAN,29
United States,USA,23
Netherlands,NLD,20
Sweden,SWE,14
South Korea,KOR,17
Switzerland,CHE,15
France,FRA,15
Austria,AUT,14
Japan,JPN,13
Italy,ITA,10
Olympic Athletes from Russia,OAR,17
Czech Republic,CZE,7
Belarus,BLR,3
China,CHN,9
Slovakia,SVK,3
Finland,FIN,6
Great Britain,GBR,5
Poland,POL,2
Hungary,HUN,1
Ukraine,UKR,1
Australia,AUS,3
Slovenia,SVN,2
Belgium,BEL,1
New Zealand,NZL,2
Spain,ESP,2
Kazakhstan,KAZ,1
Latvia,LVA,1
Liechtenstein,LIE,1
